Household ID,Sampling data,Volume [l],Waste total mass [kg],Organics [kg],Paper & Cardboard [kg],Plastics [kg],Textiles [kg],Hygiene Products [kg],Metals [kg],Glass [kg],Others [kg],Stones [kg],Comments
30.2,,,0,0,0,0,0,0,0,0,0,0,
30.3,,,0,0,0,0,0,0,0,0,0,0,
30.4,,,0,0,0,0,0,0,0,0,0,0,
30.5,,,0,0,0,0,0,0,0,0,0,0,
30.6,,,0,0,0,0,0,0,0,0,0,0,
30.7,,,0,0,0,0,0,0,0,0,0,0,
30.8,,,0,0,0,0,0,0,0,0,0,0,
31.1,09.11.2023,4,0.659,0.014,0.11,0.313,0,0,0,0,0.062,0.134,
31.2,10.11.2023,6,0.584,0.092,0.042,0.197,0,0,0.012,0,0.023,0.196,
31.3,11.11.2023,8,1.672,0.611,0.004,0.217,0,0,0,0,0.011,0.767,
31.4,12.11.2023,0,0,0,0,0,0,0,0,0,0,0,HH was on this day not at home so they could not collect the waste
31.5,13.11.2023,3,0.443,0.236,0.001,0.04,0.003,0,0,0.007,0.125,0.015,
31.6,14.11.2023,10,1.399,0.378,0.067,0.275,0.04,0,0,0,0.211,0.417,
31.7,15.11.2023,10,1.876,0.563,0.079,0.149,0.001,0,0,0,0.009,0.987,
31.8,16.11.2023,17,1.663,1.202,0.151,0.185,0.012,0.03,0.002,0.016,0.014,0,
32.1,09.11.2023,3,0.482,0.282,-0.001,0.035,0,0,-0.002,0.036,0.001,0.118,
32.2,10.11.2023,10,2.777,1.204,0.136,0.105,0.001,0,0.019,0,0.019,1.185,
32.3,11.11.2023,10,2.937,0.791,0.06,0.287,0,0,0,0,0.023,1.705,
32.4,12.11.2023,9,1.313,0.67,0.004,0.208,0.007,0,0,0,0.005,0.394,
32.5,13.11.2023,9,2.848,0.857,0.057,0.078,0.287,0,0,0.004,0.035,1.44,
32.6,14.11.2023,8,1.968,0.711,0,0.044,0.02,0,0,0,0.015,1.087,
32.7,15.11.2023,7,1.001,0.811,0,0.027,-0.004,0,0.086,0,0.033,0,
32.8,16.11.2023,10,1.698,0.653,0.01,0.147,0.116,0,0,0,0.008,0.718,
33.1,09.11.2023,4,0.376,0.162,0.024,0.143,0,0,0,0,0.012,0.028,
33.2,10.11.2023,7,0.831,0.14,0.023,0.118,0,0,0.083,0.415,0.009,0,
33.3,11.11.2023,2,0.4,0.122,0.003,0.132,0.093,0,0.005,0.007,0.015,0,
33.4,12.11.2023,5,0.537,0.005,0.094,0.358,0,0,0,0,0.008,0.058,
33.5,13.11.2023,3,0.824,0.223,0.066,0.073,0.004,0,0,0,0.16,0.281,
33.6,14.11.2023,5,0.3,0,0.004,0.133,0,0,0.163,0,0.005,0,
33.7,15.11.2023,7,0.804,0.317,0.125,0.317,0,0,0,0,0.019,0,
33.8,16.11.2023,9,0.88,0.341,0.015,0.365,0,0,0,0,0.135,0,
